Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
11.8538;4319.13;28.86;0.02
5.25818;562.754;15.29;-0.26
21.7381;4986.85;6.44;0.2
23.1687;4987.17;8.32;0.01
12.2796;4705.82;36.95;0.32
7.68002;1822.59;30.26;0.48
16.2066;4857.06;42.21;-0.01
9.75384;3684.56;20.76;-0.36
10.8863;4602.78;18.14;-0.37
19.5683;4748.22;37.59;-0.1
15.174;4525.99;39.65;-0.4
9.68685;3859.65;44.11;-0.49
16.5443;4985.41;10.71;-0.15
22.1716;4914.32;43.03;-0.31
10.2211;3651.27;11.96;0.38
9.99917;3859.05;17.92;-0.28
21.1602;4961.48;29.02;-0.26
23.5169;4835.03;44.02;0.34
20.1362;4946.87;34.95;-0.26
23.8178;4987.16;5.69;-0.14
10.0494;3495.68;26.24;0.21
17.5419;4804.46;31.24;-0.13
22.0865;4985.55;14.64;-0.3
19.3565;4986.07;16.74;-0.41
11.4721;4863.09;15.62;-0.42
9.49414;3208.26;17.77;-0.11
13.0737;4982.96;7.11;0.08
13.9497;4860.29;25.98;0.38
18.1922;4981.4;28.08;0.13
14.3066;4803.44;33.53;0.2
24.8553;4955.66;29.55;0.29
23.0686;4987.13;5.05;-0.13
14.2006;4755.32;38.34;0.02
14.2925;4838.26;24.18;-0.21
21.067;4966.51;30.66;-0.41
6.04534;784.877;6.26;-0.06
21.9235;4987.07;11.41;0.41
15.9228;4984.58;9.13;0.38
13.9704;4984.47;15.15;-0.11
12.069;4729.15;25.4;-0.25
16.8093;4985.76;22.33;-0.34
5.92274;768.819;5.86;-0.19
22.8684;4905.2;40.4;0.44
25.0314;4870.5;35.27;0.38
22.9624;4932.9;29.99;0.37
13.452;4979.82;10.71;0.43
19.826;4974.11;31.38;0.45
16.6529;4985.34;8.2;-0.04
20.3767;4982.14;20.09;-0.15
16.2484;4986.4;14.94;-0.33
21.4995;4959.33;32.27;0.14
3.33539;127.549;33.79;0.37
17.5874;4787.13;41.73;0.26
17.2877;4983.14;25.68;-0.46
4.98588;589.728;37.05;-0.26
4.97483;475.198;31.39;0.35
19.1695;4986.21;11.75;0.18
17.7936;4986.7;11.27;-0.29
16.9809;4955.92;30.44;-0.38
4.4822;439.642;36.74;-0.31
3.52216;120.693;9.52;-0.06
24.5667;4986.27;13.53;-0.09
8.46685;2476.9;38.43;0.02
19.2555;4986.72;16.5;-0.37
7.18098;1645.31;42.4;0.34
24.9763;4935.26;28.84;-0.27
8.75715;2449.29;5.24;-0.16
6.11666;884.262;23.79;0.38
4.02044;264.311;19.43;-0.38
23.3443;4903.74;33.54;-0.13
22.5424;4986.7;10.67;0.22
19.9172;4987.01;6.88;-0.2
20.6201;4986.31;10.48;-0.26
20.4917;4985.8;18.01;0.41
9.283;2924.31;28.79;0.4
12.9569;4768.07;27.59;-0.02
6.3629;904.379;7.83;0.41
4.63951;391.113;33.87;-0.04
18.114;4892.66;35.78;0.42
13.3639;4631.54;35.76;-0.17
4.92183;466.014;27.48;0.23
23.2175;4933.81;36.54;-0.18
20.5239;4985.43;14.97;0.13
